industry,brand,content_type,publishedAt,hour,dayofweek,is_weekend,followers,likes,comments,engagementRate,brand_avg_engagement,relative_engagement,posting_frequency,nbrhashtags,captionlength,caption,hashtags_text,platform,post_url
BEAUTY,Sephora,reel,2025-09-24 00:25:30+00:00,0,2,0,23015123,16905.0,574.2300000000005,0.13364256189289103,0.03754447979909246,3.559579533610198,0.40579710144927533,0,140,"Small pic, BIG news: My Sephora Storefront is live! Content creators can now get rewarded for sharing beauty recs. Apply at the link in bio.",,instagram,https://www.instagram.com/p/DO9vxS9jXns/
BEAUTY,Sephora,reel,2026-04-19 19:17:00+00:00,19,6,1,23015123,705.0,20.0,0.0031887662110490207,0.03754447979909246,0.08493302419191066,0.40579710144927533,1,73,Timeless traditions will always do it for us. @shadaabdelal #SephoraSquad,sephorasquad,instagram,https://www.instagram.com/p/DXUxnB1kkdF/
BEAUTY,Sephora,reel,2026-04-19 15:56:19+00:00,15,6,1,23015123,8905.0,102.0,0.03913513736163826,0.03754447979909246,1.0423672819828032,0.40579710144927533,0,433,"@badgalriri is serving shine. NEW! The Flashy One 9-in-1 Treatment leaves hair drippin’ in benefits. This oil does the most... nourishes, moisturizes, adds shine, smooths frizz, repairs split ends, reduces breakage, strengthens, protects from damage, and provides up to 450° heat protection. Get yours during Sephora Savings Event now through 4/20. 

Rouge get 20% off 
VIB get 15% off 
Insiders get 10% off 
Limitations/terms apply.",,instagram,https://www.instagram.com/p/DXUaywSgcE5/
BEAUTY,Sephora,reel,2026-04-18 19:52:03+00:00,19,5,1,23015123,3725.0,35.0,0.016337084099007422,0.03754447979909246,0.43513944490455636,0.40579710144927533,0,57,There’s always room for some more @glossier. @beckymaelee,,instagram,https://www.instagram.com/p/DXSQ0UTEn3J/
BEAUTY,Sephora,reel,2026-04-18 15:57:01+00:00,15,5,1,23015123,13363.0,175.0,0.05882219269477725,0.03754447979909246,1.5667334588079478,0.40579710144927533,0,191,"Stock up on @negin.mirsalehi’s Gisou go-tos for that glossy, glazed shine. 

Use code SPRINGSALE thru 4/20:
💛 Rouge get 20% off 
💛 VIB get 15% off 
💛 Insiders get 10%
Limitations/terms apply.",,instagram,https://www.instagram.com/p/DXR2FFYn2xw/
BEAUTY,Sephora,reel,2026-04-17 20:39:14+00:00,20,4,0,23015123,4394.0,131.0,0.01966098551808739,0.03754447979909246,0.5236718053705101,0.40579710144927533,0,37,Give us every flavor 🙂‍↕️ @josiemaran,,instagram,https://www.instagram.com/p/DXPxkN-EtEH/
BEAUTY,Sephora,reel,2026-04-17 16:13:07+00:00,16,4,0,23015123,3225.0,59.0,0.014268878771579887,0.03754447979909246,0.3800526428368519,0.40579710144927533,0,289,"You’ll want to turn the volume up for @sleep_asmrtist 
Shop Sephora Savings Event 4/10–4/20, starting 4/10 for Rouge and 4/14 for all other tiers. Rouge get 20% off, VIB get 15% off, and Insiders get 10% off. All tiers get 30% off Sephora Collection starting 4/10. Limitations/terms apply.",,instagram,https://www.instagram.com/p/DXPTIh0DSCO/
BEAUTY,Sephora,image,2026-04-17 13:40:36+00:00,13,4,0,23015123,11834.0,49.0,0.051631268709708834,0.03754447979909246,1.3752026659044798,0.40579710144927533,0,17,“It’s on sale!” 😏,,instagram,https://www.instagram.com/p/DXPBFEKH44S/
BEAUTY,Sephora,reel,2026-04-16 23:00:00+00:00,23,3,0,23015123,1527.0,32.0,0.006773806944242705,0.03754447979909246,0.1804208496293094,0.40579710144927533,0,74,Can confirm the honeymoon phase never ends with @phlur 💛 @officialjulissab,,instagram,https://www.instagram.com/p/DXNdDFlSGwT/
BEAUTY,Sephora,reel,2026-04-16 20:19:11+00:00,20,3,0,23015123,8045.0,27.0,0.03507259118276274,0.03754447979909246,0.9341610636355263,0.40579710144927533,0,67,This scratched our brain just right. @glossier @sandartcoloringasmr,,instagram,https://www.instagram.com/p/DXNKZ6zkh08/
BEAUTY,Sephora,reel,2026-04-16 15:58:41+00:00,15,3,0,23015123,2507.0,42.0,0.011075326427757957,0.03754447979909246,0.29499213964407295,0.40579710144927533,0,220,"No faux hauls needed when you can shop the real deal. Shop Sephora Savings Event now through 4/20.

Rouge get 20% off
VIB get 15% off
Insiders get 10% off
All tiers get 30% off @sephoracollection
Limitations/terms apply.",,instagram,https://www.instagram.com/p/DXMsrc2oDNE/
BEAUTY,Sephora,image,2026-04-16 13:00:48+00:00,13,3,0,23015123,13401.0,574.2300000000005,0.06092515777560693,0.03754447979909246,1.6227460894818322,0.40579710144927533,0,43,You can only choose one. @sephoracollection,,instagram,https://www.instagram.com/p/DXMKoTvDhMi/
PATISSERIE,patisseriemasmoudi,reel,2026-04-16 17:33:10+00:00,17,3,0,146846,184.0,1.0,0.12598232161584244,0.20387926383119384,0.6179261159200191,1.5730337078651686,0,99,"Parce que chaque détail compte le jour J…
Nos créations s’invitent à vos plus belles célébrations 💖",,instagram,https://www.instagram.com/p/DXM3KTfjWa9/
PATISSERIE,patisseriemasmoudi,reel,2025-01-28 18:45:00+00:00,18,1,0,146846,284.0,6.0,0.19748580145186115,0.20387926383119384,0.9686409384692193,1.5730337078651686,0,86,"Vraiment BRAVO 👏🏻
À ne pas rater... 
السّر وراء نجاح و استمرارية @patisseriemasmoudi 🔥",,instagram,https://www.instagram.com/p/DFYTpWxtDNE/
PATISSERIE,patisseriemasmoudi,reel,2025-08-28 17:26:50+00:00,17,3,0,146846,4897.0,52.0,3.3701973496043474,0.20387926383119384,16.530358636152297,1.5730337078651686,10,302,"𝐍𝐨𝐮𝐯𝐞𝐚𝐮𝐭é : 𝐛𝐨î𝐭𝐞 𝐊𝐇𝐎𝐌𝐒𝐀 🪬🏞
Inspirée par Sidi Bou Saïd, l’élégance et la tradition s’invitent dans un souvenir prêt à voyager avec vous ✈️

#nouveauté #boite #coffret #cadeaux #voyage #tunisie #sidibousaid #elegance #patisserietunisienne #pastry #tradition #patisserietraditionnelle #patisseriemasmoudi",nouveaut boite coffret cadeaux voyage tunisie sidibousaid elegance patisserietunisienne pastry,instagram,https://www.instagram.com/p/DN6DD8tjMKC/
PATISSERIE,patisseriemasmoudi,reel,2026-04-19 16:19:40+00:00,16,6,1,146846,56.0,0.0,0.03813518924587663,0.20387926383119384,0.18704790535957336,1.5730337078651686,0,135,"Sous le signe de l’élégance 💍✨
Avec nos nouveautés Rocher & Promesse, place à des pâtisseries raffinées, aussi belles que délicieuses 🤍",,instagram,https://www.instagram.com/p/DXUdWPkDPA1/
PATISSERIE,patisseriemasmoudi,reel,2026-04-14 18:28:32+00:00,18,1,0,146846,87.0,2.0,0.06060771148005393,0.20387926383119384,0.2972725638750362,1.5730337078651686,0,28,It’s almost time ! … 👰🏻‍♀️💍✨,,instagram,https://www.instagram.com/p/DXHy6cgjRS8/
PATISSERIE,patisseriemasmoudi,reel,2026-04-08 13:57:01+00:00,13,2,0,146846,27.0,3.0,0.02042956566743391,0.20387926383119384,0.10020423501405716,1.5730337078651686,0,77,"Vous fondez pour nos pralinés…😍
Texture, goût, un pur plaisir
Team lequel ? 👇",,instagram,https://www.instagram.com/p/DW34S4ajDNK/
PATISSERIE,patisseriemasmoudi,carousel,2026-04-02 14:49:56+00:00,14,3,0,146846,120.0,8.0,0.08716614684771802,0.20387926383119384,0.4275380693933105,1.5730337078651686,0,21,التونسي و الشّامية… 👆,,instagram,https://www.instagram.com/p/DWohwQKjEMz/
PATISSERIE,patisseriemasmoudi,reel,2026-02-19 15:06:37+00:00,15,3,0,146846,23635.0,246.0,7.086668499853545,0.20387926383119384,34.75914306675691,1.5730337078651686,0,60,"حكة الحلو طلع فيها حلو !!! 😱 🍬
_________
@patisseriemasmoudi",,instagram,https://www.instagram.com/p/DU8ZCSuCCjG/
PATISSERIE,patisseriemasmoudi,reel,2026-04-12 13:41:40+00:00,13,6,1,146846,62.0,0.0,0.04222110237936341,0.20387926383119384,0.20708875236238478,1.5730337078651686,0,84,"L’assortiment de la semaine 😍
Une sélection pensée avec soin, prête à vous régaler ✨",,instagram,https://www.instagram.com/p/DXCJrlVDCyW/
PATISSERIE,patisseriemasmoudi,reel,2026-04-04 13:54:34+00:00,13,5,1,146846,68.0,1.0,0.046988001035097995,0.20387926383119384,0.23046974053233146,1.5730337078651686,0,74,"L’instant Gourmet — ici, ce n’est pas juste manger… c’est une expérience 😍",,instagram,https://www.instagram.com/p/DWtkubNDDdi/
PATISSERIE,patisseriemasmoudi,carousel,2026-04-17 14:54:20+00:00,14,4,0,146846,51.0,0.0,0.034730261634637646,0.20387926383119384,0.17034719952389715,1.5730337078651686,0,102,"Des saveurs délicates, une présentation parfaitement soignée… où chaque détail reflète l’excellence 🤍💍",,instagram,https://www.instagram.com/p/DXPKLpXjOvl/
PATISSERIE,patisseriemasmoudi,reel,2026-03-23 19:45:42+00:00,19,0,0,146846,101.0,0.0,0.0687795377470275,0.20387926383119384,0.3373542578806591,1.5730337078651686,0,104,"Toujours plus proche de vous 💜
Pâtisserie Masmoudi s’installe à El Mourouj pour encore plus de délices !",,instagram,https://www.instagram.com/p/DWPTba3jZEj/
PATISSERIE,patisseriemasmoudi,reel,2026-03-28 17:25:33+00:00,17,5,1,146846,193.0,3.0,0.13347316236056822,0.20387926383119384,0.6546676687585068,1.5730337078651686,0,140,"✨ Nouveauté ✨
La chamia fait son entrée 😍
Savoureuse avec un goût authentique, une texture parfaite et généreusement garnie de fruits secs !",,instagram,https://www.instagram.com/p/DWb7iSniNQo/
PATISSERIE,patisseriemasmoudi,reel,2026-03-18 11:28:34+00:00,11,2,0,146846,104.0,3.0,0.07286545088051428,0.20387926383119384,0.35739510488347054,1.5730337078651686,0,112,⁨	⁨	كعيبات الحلو مختارين بالكعبة و مرصفين بكل دقة و فيانة تودو بيهم العايلة، الضيفان و العزاز عليكم في العيد 🥰⁩⁩,,instagram,https://www.instagram.com/p/DWBikaWDE22/
PATISSERIE,patisseriemasmoudi,carousel,2026-03-31 16:28:54+00:00,16,1,0,146846,52.0,0.0,0.03541124715688544,0.20387926383119384,0.1736873406910324,1.5730337078651686,0,102,"Notre Bsissa comme vous ne l’avez jamais goûtée 🤎
Nouvelle recette noix spéculos à tester absolument 😋",,instagram,https://www.instagram.com/p/DWjjfZPjMRd/
PATISSERIE,patisseriemasmoudi,reel,2026-03-26 08:48:55+00:00,8,3,0,146846,0.0,1.0,0.0031887662110490207,0.20387926383119384,0.015640463630912593,1.5730337078651686,0,31,Let’s make breakfast together ✨,,instagram,https://www.instagram.com/p/DWVuO4DiDE0/
PATISSERIE,patisseriemasmoudi,reel,2026-03-15 20:15:38+00:00,20,6,1,146846,366.0,4.0,0.2519646432316849,0.20387926383119384,1.2358522318400382,1.5730337078651686,0,156,المصمودي ديما حاضرة و ما تغيبش على اعيادكم، سهريياتكم و مناسباتكم ! كوفريات العيد تلقاوهم حاضرين و مختارين بالكعبة في جميع نقاط بيع المصمودي ✨ او عبر موقعنا,,instagram,https://www.instagram.com/p/DV6whMIjS1C/
PATISSERIE,patisseriemasmoudi,reel,2026-03-27 10:38:36+00:00,10,4,0,146846,27.0,0.0,0.01838660910069052,0.20387926383119384,0.09018381151265144,1.5730337078651686,0,22,Just tap and watch ! 😍,,instagram,https://www.instagram.com/p/DWYoGdCjJc5/
PATISSERIE,patisseriemasmoudi,reel,2026-03-16 20:34:52+00:00,20,0,0,146846,202.0,12.0,0.14573090176102857,0.20387926383119384,0.7147902097669411,1.5730337078651686,0,28,هنا تباع المفروكة خلسة !!!🤫😆,,instagram,https://www.instagram.com/p/DV9XVj9DXhR/
PATISSERIE,patisseriemasmoudi,image,2026-03-19 19:56:55+00:00,19,3,0,146846,22.0,1.0,0.01566266701169933,0.20387926383119384,0.07682324684411049,1.5730337078651686,0,93,"عيد فطر مبارك على جميع الأمّة الاسلامية 🌙
Meilleurs vœux de santé, de bonheur et de sérénité🤗",,instagram,https://www.instagram.com/p/DWFBtO2DWKq/
PATISSERIE,patisseriemasmoudi,reel,2026-03-14 13:09:26+00:00,13,5,1,146846,89.0,3.0,0.06265066804679732,0.20387926383119384,0.30729298737644195,1.5730337078651686,0,210,"𝐏â𝐭𝐢𝐬𝐬𝐞𝐫𝐢𝐞 𝐌𝐚𝐬𝐦𝐨𝐮𝐝𝐢 – 𝐊𝐬𝐚𝐫 𝐇𝐥𝐞𝐥
Découvrez un large choix de produits dans un cadre accueillant et profitez d’un service exceptionnel. 🥰
Nous serons ravis de vous accueillir !

📍Avenue haj Ali Soua 
📞 95 326 397",,instagram,https://www.instagram.com/p/DV3a-AKjOx-/
PATISSERIE,patisseriemasmoudi,carousel,2026-03-13 12:03:40+00:00,12,4,0,146846,163.0,9.0,0.11712950982662108,0.20387926383119384,0.574504280747261,1.5730337078651686,0,157,"ريحة العيد فاحت 🤗 نقترحو عليكم تشكيلات حاضرين ومختارين بالكعبة 🥰
والتّوصيل على تونس الكلّ عبر موقعنا 🚚
✨𝐁𝐨î𝐭𝐞 𝐀ï𝐝 𝐀𝐦𝐚𝐧𝐝𝐞 
✨𝐁𝐨î𝐭𝐞 𝐀ï𝐝 𝐅𝐞𝐤𝐢𝐚 
✨𝐁𝐨î𝐭𝐞 𝐀ï𝐝 𝐑𝐨𝐲𝐚𝐥𝐞",,instagram,https://www.instagram.com/p/DV0u1BhDLgj/
PATISSERIE,patisseriemasmoudi,reel,2026-03-05 13:27:25+00:00,13,3,0,146846,82.0,2.0,0.057202783868814944,0.20387926383119384,0.28057185803936,1.5730337078651686,0,40,⁨	لمّة رمضان ما تحلّيها كان المصمودي 🌙🥰⁩,,instagram,https://www.instagram.com/p/DVgRn7WDKbR/
PATISSERIE,patisseriemasmoudi,reel,2026-02-27 11:51:27+00:00,11,4,0,146846,61.0,2.0,0.042902087901611215,0.20387926383119384,0.21042889352952004,1.5730337078651686,0,221,"⁨	⁨	⁨	⁨	⁨	⁨	⁨	⁨	نودّوكم بأبنّ مفروكة، كنافة فستق قشطة، تعدّيو بيها سهرية رمضان 🌙
شكون فيكم جرّبها يحكيلنا على بنّتها ؟ 🥰
متوفرة في جميع نقاط بيع المصمودي طيلة شهر رمضان!⁩
🍽‪‪‪‪‪‪‪@art_de_la_maison‬‬‬‬‬‪
@creation_emna ⁩⁩⁩",,instagram,https://www.instagram.com/p/DVQpxd8DEX_/
PATISSERIE,patisseriemasmoudi,reel,2026-03-12 18:58:29+00:00,18,3,0,146846,47.0,1.0,0.03268730506789426,0.20387926383119384,0.16032677602249146,1.5730337078651686,0,150,"‎جاتكم للمروج Pâtisserie Masmoudi 
‎نستناوكم باش تذوقو أبنّ و أعزّ حلو فيك يا تونس 🥰
📍Avenue des Martyrs el Mourouj 6, résidence Nermine 
📞 55 255 555",,instagram,https://www.instagram.com/p/DVy5YIwDciG/
PATISSERIE,patisseriemasmoudi,reel,2026-03-08 13:58:18+00:00,13,6,1,146846,727.0,34.0,0.5182299824305735,0.20387926383119384,2.541847428189916,1.5730337078651686,5,397,"🪬💫J’aime la Tunisie… et pour partager cet amour à ma famille en France, quoi de mieux que du soleil mêlé de miel et d’amandes, les pâtisseries tunisiennes…
💫🪬Un merveilleux cadeau qu’on déguste des 2 cotés de la Méditerranée… @patisseriemasmoudi @masmoudi_france
Merci à @khouloudguidara et @sophie.goor pour leur participation ! 
📷 @abdel_karim_lamari 
#tunisie #france #patisserie #delice #amour",tunisie france patisserie delice amour,instagram,https://www.instagram.com/p/DVoD0obiEKs/
PATISSERIE,patisseriemasmoudi,reel,2026-02-24 11:43:13+00:00,11,1,0,146846,357.0,1.0,0.24379281696471133,0.20387926383119384,1.1957705378344154,1.5730337078651686,0,215,"رمضان ما يحلى كان بلمّتنا و السهرية ما تكمل كان بأبن حلو من عندنا 🌙

Merci à @henemhautecouture et @creation_emna pour les magnifiques tenues, et à @art_de_la_maison pour la touche artistique qui a sublimé le tout 🤍",,instagram,https://www.instagram.com/p/DVI6d0WjCac/
PATISSERIE,patisseriemasmoudi,reel,2026-04-10 13:14:30+00:00,13,4,0,146846,80.0,1.0,0.05515982730207156,0.20387926383119384,0.2705514345379543,1.5730337078651686,0,94,"Entre rose framboise, pistache pétale de fleur et pignon…
Le kaak Anbar à savourer autrement ✨",,instagram,https://www.instagram.com/p/DW89HMTDCLp/
PATISSERIE,patisseriemasmoudi,reel,2026-03-30 09:39:26+00:00,9,0,0,146846,40.0,8.0,0.03268730506789426,0.20387926383119384,0.16032677602249146,1.5730337078651686,0,152,"Attention… addiction garantie 😋
Notre Bsissa noix & spéculoos va vous faire craquer 🤎
Une texture onctueuse, un goût irrésistible… à tester absolument 😍",,instagram,https://www.instagram.com/p/DWgPyR5CMmt/
PATISSERIE,patisseriemasmoudi,carousel,2026-03-03 12:58:58+00:00,12,1,0,146846,39.0,1.0,0.027239420889911877,0.20387926383119384,0.13360564668540953,1.5730337078651686,0,83,"السهرية ما تحلى كان بكعيبة mooncake دڤلة ولا فستق مع كويس تاي منعنع يعمل الكيف 🌙
‬⁩",,instagram,https://www.instagram.com/p/DVbFNRsjIL2/
PATISSERIE,patisseriemasmoudi,reel,2026-03-10 08:46:47+00:00,8,1,0,146846,46.0,0.0,0.03132533402339866,0.20387926383119384,0.15364649368822098,1.5730337078651686,0,115,"Pâtisserie masmoudi 
‎زادت قربتلكم و حلّتلكم فرع جديد في قصر هلال 🤩
📞95 326 397
📍Avenue Haj Ali Soua 
مرحبا بيكم ❤️",,instagram,https://www.instagram.com/p/DVsp3PxDCoB/
