industry,brand,content_type,hour,dayofweek,nbrhashtags,captionlength,followers,engagementRate
beauty,Sephora,reel,0,2,0,140,23015123,0.133642561892891
beauty,Sephora,reel,19,6,1,73,23015123,0.003188766211049
beauty,Sephora,reel,15,6,0,433,23015123,0.0391351373616382
beauty,Sephora,reel,19,5,0,57,23015123,0.0163370840990074
beauty,Sephora,reel,15,5,0,191,23015123,0.0588221926947772
beauty,Sephora,reel,20,4,0,37,23015123,0.0196609855180873
beauty,Sephora,reel,16,4,0,289,23015123,0.0142688787715798
beauty,Sephora,photo,13,4,0,17,23015123,0.0516312687097088
beauty,Sephora,reel,23,3,0,74,23015123,0.0067738069442427
beauty,Sephora,reel,20,3,0,67,23015123,0.0350725911827627
beauty,Sephora,reel,15,3,0,220,23015123,0.0110753264277579
beauty,Sephora,photo,13,3,0,43,23015123,0.0609251577756069
patisserie,patisseriemasmoudi,reel,17,3,0,99,146846,0.1259823216158424
patisserie,patisseriemasmoudi,reel,18,1,0,86,146846,0.1974858014518611
patisserie,patisseriemasmoudi,reel,17,3,10,302,146846,3.370197349604348
patisserie,patisseriemasmoudi,reel,16,6,0,135,146846,0.0381351892458766
patisserie,patisseriemasmoudi,reel,18,1,0,28,146846,0.0606077114800539
patisserie,patisseriemasmoudi,reel,13,2,0,77,146846,0.0204295656674339
patisserie,patisseriemasmoudi,carousel,14,3,0,21,146846,0.087166146847718
patisserie,patisseriemasmoudi,reel,15,3,0,60,146846,7.086668499853545
patisserie,patisseriemasmoudi,reel,13,6,0,84,146846,0.0422211023793634
patisserie,patisseriemasmoudi,reel,13,5,0,74,146846,0.0469880010350979
patisserie,patisseriemasmoudi,carousel,14,4,0,102,146846,0.0347302616346376
patisserie,patisseriemasmoudi,reel,19,0,0,104,146846,0.0687795377470275
patisserie,patisseriemasmoudi,reel,17,5,0,140,146846,0.1334731623605682
patisserie,patisseriemasmoudi,reel,11,2,0,112,146846,0.0728654508805142
patisserie,patisseriemasmoudi,carousel,16,1,0,102,146846,0.0354112471568854
patisserie,patisseriemasmoudi,reel,8,3,0,31,146846,0.003188766211049
