feature,importance,importance_pct
brand_papajohnstn,0.08436986,8.436986
brand_kfctunisie,0.071422815,7.1422815
brand_my_story_cosmetics,0.06439712,6.439712
brand_therapybylk,0.059307966,5.9307966
brand_baguettebaguette,0.05676673,5.676673
nbrhashtags,0.044586074,4.458607
followers,0.043340694,4.3340693
content_type_reel,0.041546043,4.1546044
industry_beauty,0.040913068,4.0913067
brand_vie.tunis,0.040076245,4.0076246
captionlength,0.039329734,3.9329734
brand_movenpicklactunis,0.038656935,3.8656936
hour,0.032124527,3.2124527
content_type_photo,0.031190993,3.1190994
brand_tunismarriott,0.02739278,2.739278
dayofweek,0.025734292,2.5734293
industry_restaurants,0.025489565,2.5489564
brand_movenpick_hotel_gammarth,0.025464758,2.546476
brand_theresidencetunis,0.022616629,2.261663
content_type_carousel,0.022415267,2.2415268
industry_patisserie,0.019499995,1.9499995
industry_hotels,0.018712636,1.8712636
brand_freya.tn,0.017533235,1.7533236
brand_legolfe.restaurant,0.016208196,1.6208196
brand_nuxetunisie,0.015960464,1.5960464
brand_el_mouradi_hotels,0.01372746,1.372746
brand_floraison.official,0.012603843,1.2603843
brand_lellacosmetics,0.012565494,1.2565494
brand_yvesrocher_tunisie,0.01149918,1.1499181
brand_chedly_sisters,0.010046363,1.0046363
brand_elfirma.tunis,0.007453612,0.7453612
industry_fashion,0.0070474152,0.70474154
brand_kastelo.com.tn,0.0,0.0
brand_hiltonskanesmonastir,0.0,0.0
brand_ha.hamadiabid,0.0,0.0
brand_fstunis,0.0,0.0
brand_biodermatunisie,0.0,0.0
brand_Sephora,0.0,0.0
brand_bershka,0.0,0.0
brand_la_badira,0.0,0.0
brand_patisserie_h_by_omar,0.0,0.0
brand_patisserie.sakka,0.0,0.0
brand_mango,0.0,0.0
brand_la_salle_a_manger,0.0,0.0
brand_lamaisongourmandise,0.0,0.0
brand_labeylicale,0.0,0.0
brand_maisonturki,0.0,0.0
brand_mamie.karima,0.0,0.0
brand_soussepearlmarriott,0.0,0.0
brand_the716lac2,0.0,0.0
brand_pullandbear,0.0,0.0
brand_radissonblutunis,0.0,0.0
brand_patisserierekik,0.0,0.0
brand_patisseriemasmoudi,0.0,0.0
brand_zara,0.0,0.0
brand_zen.tunisie,0.0,0.0
